coffee_name,revenue,orders,avg_ticket,share_pct,cum_share_pct
Latte,26875.3,757,35.50237780713342,23.943303602689745,23.943303602689745
Americano with Milk,24751.12,809,30.59470951792336,22.050863829114693,45.99416743180444
Cappuccino,17439.14,486,35.883004115226335,15.536593957641806,61.53076138944625
Americano,14650.26,564,25.97563829787234,13.05197050966283,74.58273189910908
Hot Chocolate,9933.46,276,35.990797101449274,8.849756043846002,83.43248794295508
Cocoa,8521.16,239,35.65338912133891,7.591532780177179,91.02402072313225
Cortado,7384.86,287,25.73121951219512,6.579198931485765,97.60321965461802
Espresso,2690.2799999999997,129,20.854883720930232,2.396780345381974,99.99999999999999
