price_band,revenue,orders,share_pct
<=25,6995.0199999999995,316,6.23188904186695
25-30,23928.620000000003,886,21.318095554408472
30-35,29810.14,930,26.557963351429965
35-40,51511.799999999996,1415,45.89205205229462
