rank,product_code,revenue,records,clients,share_pct,cum_share_pct
1,237550.0,757214.0,21,21,4.494844765997852,4.494844765997852
2,237549.0,727433.0,20,20,4.318063866574199,8.81290863257205
3,521721.0,726463.0,18,18,4.312305917800117,13.125214550372167
4,382522.0,705157.0,21,21,4.185832869778883,17.31104742015105
5,237551.0,696068.0,21,21,4.131880296162766,21.442927716313815
6,522030.0,689449.0,18,18,4.092589715816735,25.53551743213055
7,382523.0,678100.0,21,21,4.025221715159972,29.560739147290523
8,522997.0,634944.0,15,15,3.769046418980289,33.329785566270814
9,237553.0,610471.0,20,20,3.62377396501316,36.95355953128397
10,514991.0,570173.0,15,15,3.3845638416131947,40.338123372897165
11,515899.0,496482.0,19,19,2.9471318796432,43.28525525254037
12,520630.0,430104.0,11,11,2.5531101026060536,45.83836535514642
13,518702.0,371316.0,14,14,2.2041427907186852,48.042508145865106
14,518703.0,363722.0,11,11,2.159064581450252,50.20157272731536
15,520629.0,359732.0,11,11,2.1353798230908825,52.33695255040624
16,148537.0,340478.0,9,9,2.021087507940182,54.35804005834642
17,515886.0,338037.0,12,12,2.0065976595303523,56.36463771787677
18,512182.0,318886.0,7,7,1.8929167554350437,58.257554473311814
19,518704.0,308315.0,11,11,1.830166985856875,60.08772145916869
20,111893.0,304507.0,11,11,1.8075625848963544,61.89528404406504
21,234028.0,295361.0,9,9,1.7532716575893892,63.64855570165443
22,512020.0,267269.0,6,6,1.586516712268236,65.23507241392267
23,510984.0,267184.0,7,7,1.5860121497467956,66.82108456366946
24,512022.0,266902.0,9,9,1.584338189381547,68.405422753051
25,524065.0,265924.0,9,9,1.578532752370153,69.98395550542115
26,524064.0,263740.0,8,8,1.5655684635839717,71.54952396900512
27,512701.0,237884.0,5,5,1.4120864805915279,72.96161044959665
28,510986.0,226448.0,7,7,1.3442020453539971,74.30581249495064
29,510985.0,221773.0,7,7,1.3164511066747864,75.62226360162543
30,524063.0,220084.0,6,6,1.3064251525722865,76.92868875419772
31,512016.0,219419.0,4,4,1.302477692845725,78.23116644704345
32,510987.0,210850.0,7,7,1.2516118546548891,79.48277830169833
33,513611.0,196743.0,5,5,1.1678722841848084,80.65065058588314
34,512702.0,195374.0,5,5,1.1597458595747892,81.81039644545793
35,524459.0,168703.0,7,7,1.0014260124061833,82.81182245786411
36,524468.0,164379.0,7,7,0.9757586201390371,83.78758107800314
37,512017.0,156032.0,4,4,0.9262105805336099,84.71379165853675
38,513597.0,153958.0,6,6,0.9138992550104691,85.62769091354721
39,512019.0,122281.0,4,4,0.7258636433438677,86.35355455689108
40,512021.0,114121.0,5,5,0.6774256412856087,87.03098019817669
41,512015.0,105517.0,4,4,0.6263520420565327,87.65733224023323
42,495713.0,83787.0,2,2,0.4973621174577623,88.154694357691
43,495719.0,81189.0,2,2,0.4819403123906843,88.63663467008169
44,495720.0,78619.0,2,2,0.4666847161541984,89.1033193862359
45,512018.0,75862.0,4,4,0.45031908237054397,89.55363846860644
46,241903.0,73369.0,2,2,0.43552056041818615,89.98915902902462
47,497028.0,65723.0,1,1,0.39013367760722445,90.37929270663184
48,495714.0,65291.0,1,1,0.38756931279237544,90.76686201942422
